세부사업명,주요내용,분야,학생 여부,소득 기준,취약계층사업 여부,취약계층 유형,취창업 여부,연령구분 여부,연령 구분,지원형태,관련 법령, 예산(천원) 
3단계 산학연 협력 선도대학 육성사업 (LINC 3.0),"ㅇ (목적) 산업계 수요 인재 양성 등 산학연 협력 선순환 생태계 조성ㅇ (대상) 14개 대학 LINC 3.0 사업단ㅇ (주요내용) 산업수요 미래인재 양성, 산업 기술혁신 지원, 산학연 협력 기반 강화 등 대학과 산업이 상생 성장하는 생태계 조성ㅇ (전달체계) 교육부 → 부산시 → 대학",교육,학생,소득무관,무관,무관,취창업무관,연령무관,연령무관,서비스지원,부산광역시 지산학 협력 촉진에 관한 조례,47863
NEXT10 (월드클래스 육성) 운영,"ㅇ (목적) 잠재력이 높은 청년 핵심인재를 육성하고, 역량개발 지원을 통해 세계적인 글로벌 리더로 성장토록 지원ㅇ (대상) 청년 핵심인재ㅇ (주요내용) 청년인재 맞춤형 집중 지원·관리(역량개발비 지원 최대1억원/3년)ㅇ (전달체계) 부산시→부산경제진흥원 (공기관위탁)",교육,학생여부무관,소득무관,무관,무관,취업청년,청년연령,부산광역시청년기본조례(18~39),혼합형,부산광역시 청년기본 조례,410
국제금융기구 진출 아카데미 운영,"ㅇ (목적) 국제기구 진출에 대한이론 강의 및 실전 교육,            인턴십 기회 제공 등ㅇ (대상) 국제기구 진출을 희망하는 부산 지역 대학(원)생 대상ㅇ (주요내용) 국제(금융)기구 진출 전략, 글로벌 매너 등 가이드                 라인 제시 및 현장 파견ㅇ (전달체계) 부산시 → 부산글로벌도시재단 (공기관 위탁)",교육,학생,소득무관,무관,무관,취업준비,연령무관,연령무관,서비스지원,부산광역시 금융산업 육성에 관한 조례,7
국제마케팅 전문인력 양성사업,"ㅇ (목적) 무역실무 교육을 통한 지역인재 육성ㅇ (대상) 50명(부산소재 대학 3, 4학년, 미취업자)ㅇ (주요내용) 실무형 무역전문교육, 취업 컨설팅, 취업 지원ㅇ (전달체계) 부산시→부산경제진흥원(공기관위탁대행)",교육,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례(18~39),서비스지원,부산광역시 청년기본 조례,150
글로컬대학30 육성 지원,ㅇ (목적) 지역발전 전략과 연계한 인재양성·산학협력·창업·창직 등 혁신전략 마련으로 세계적 경쟁력을 갖춘 글로컬대학 육성 지원 ㅇ (대상) 비수도권 소재 일반재정지원대학 또는 국립대학ㅇ (주요내용) 지역산업 수요 반영한 인재양성 등 지역산업·사회 연계 특화분야 대학혁신 지원ㅇ (전달체계) 교육부 → 부산시 → 대학,교육,학생,소득무관,무관,무관,취업준비,연령무관,연령무관,혼합형,고등교육법 제7조지방대학 및 지역균형인재 육성에 관한 법률 제17조,20000
기술사관 육성사업,"ㅇ (목적) 특성화고-전문대-산업체 연계 맞춤형 교육을 통한 현장실무형 중간기술 인력양성 및 취업 지원ㅇ (대상)전문대, 협약고교 재학생 ㅇ (주요내용) - 특성화고: 2,3학년 대상 전공기초교육, 현장체험, 현장실무교육- 전문대: 프로젝트 과제 실기연수, 협약업체 인턴십 및 취업연계ㅇ (전달체계) 부산시→전문대→특성화고",교육,학생,소득무관,무관,무관,취창업무관,연령무관,연령무관,서비스지원,부산광역시 대학 및 지역인재 육성지원에 관한 조례부산광역시 지산학협력 촉진에 관한 조례 제14조,719
대학생 기숙사비 지원,ㅇ (목적) 지역 소재 대학교 재·입학생들의 주거안정을 위한 주거비 지원으로 지역대학 신입생 유치 지원 및 지역인재 정주기반 조성ㅇ (대상) 부산지역소재 대학생 중 원거리 통학자 300명ㅇ (주요내용) 부산행복연합기숙사 300석을 부산시에서 장기임대하여 입소대상자 선발 후 기숙사비 일부를 시비지원 및 입사조치(1인당 월 5만원 지원)ㅇ (전달체계) 부산시→한국사학진흥재단(행복기숙사)(민간경상사업보조),주거,학생,저소득,무관,무관,취창업무관,연령무관,연령무관,현금성지원,「부산광역시 대학 및 지역인재육성지원에 관한 조례」,180
대학생 작품제작 참여지원,"ㅇ (목적) 대학생 작품창작 능력 향상 및 졸업후 예술현장 진입 유도ㅇ (대상) 지역소재 재학,휴학중인 대학생ㅇ (주요내용) 작품창작, 작품참여 등 공모지원ㅇ (전달체계) 부산시→ (재)부산문화회관(공기관위탁)",복지문화,학생,소득무관,무관,무관,취창업무관,연령무관,연령무관,서비스지원,부산광역시 대학 및 지역인재 육성지원 조례,150
대학생 학자금 대출이자 지원,ㅇ (목적) 지역대학(원)생과 졸업생의 안정적인 학업과 구직활동 지원 및             정주기반 구축ㅇ (대상) 부산지역소재 대학(원)생 및 학부 졸업생ㅇ (주요내용) '16년 이후 학자금대출분에 대한 당해년도 발생이자 지원ㅇ (전달체계) 부산시→한국장학재단(공공기관 위탁),교육,학생여부무관,소득무관,무관,무관,취업준비,연령무관,연령무관,현금성지원,「부산광역시 대학생 학자금 대출이자 지원에 관한 조례」「부산광역시 대학 및 지역인재육성지원에 관한 조례」,410
대학일자리(플러스)센터 지원,ㅇ (목적) 지역 청년 고용 거버너스 구축·운영을 통해 청년 고용 촉진 사업의 핵심적 전달체계 구축ㅇ (대상) 부산지역 청년ㅇ (주요내용) 대학 내 진로지도 및 취‧창업 지원 센터 운영ㅇ (전달체계) 직접사업,일자리,학생여부무관,소득무관,무관,무관,취창업무관,연령구분,부산광역시청년기본조례(18~39),서비스지원,부산광역시 청년기본 조례,3240
